Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank BM25_score system_name

hurricane isabel damage:

1 Q0 Effects_of_tropical_cyclones 67 2.789326290087984 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Ingrid 68 2.7827807846909334 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Edna 69 2.7749955664098898 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Joan%E2%80%93Miriam 70 2.7716240205324234 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Carol 71 2.7391522485487205 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Jeanne 72 2.720722382877833 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Dean 73 2.7068670081582242 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Rita 74 2.687475442606357 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Flora 75 2.6736987725068317 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Frederic 76 2.6550893605298214 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Tomas 77 2.6524127898752026 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Hilda 78 2.64700510128477 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Matthew 79 2.641066377386176 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Audrey 80 2.638529323965333 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Dora 81 2.6293190465172236 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Elena 82 2.628961907942688 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Eloise 83 2.5967961339399785 OkapiBM25NoStopNoStem
1 Q0 Outer_Banks 84 2.5941223534376388 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Iris 85 2.5826133609398356 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Andrew 86 2.573323099549401 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Igor 87 2.5639854391103016 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Frances 88 2.552642811490117 OkapiBM25NoStopNoStem
