Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

hurricane isabel damage:

1 Q0 Hurricane_Hilda 77 0.19466731 LuceneNoStopNoStem
1 Q0 Hurricane_Dora 78 0.19383302 LuceneNoStopNoStem
1 Q0 Hurricane_Frederic 79 0.19338977 LuceneNoStopNoStem
1 Q0 Hurricane_Elena 80 0.19328882 LuceneNoStopNoStem
1 Q0 Hurricane_Matthew 81 0.19264808 LuceneNoStopNoStem
1 Q0 Hurricane_Audrey 82 0.19241156 LuceneNoStopNoStem
1 Q0 Hurricane_Hugo 83 0.19187817 LuceneNoStopNoStem
1 Q0 2009_Atlantic_hurricane_season 84 0.19050308 LuceneNoStopNoStem
1 Q0 Hurricane_Hattie 85 0.19030786 LuceneNoStopNoStem
1 Q0 1932_Bahamas_hurricane 86 0.19028729 LuceneNoStopNoStem
1 Q0 Hurricane_Agnes 87 0.19014561 LuceneNoStopNoStem
1 Q0 1938_New_England_hurricane 88 0.18811963 LuceneNoStopNoStem
1 Q0 Hurricane_Igor 89 0.1868336 LuceneNoStopNoStem
1 Q0 Hurricane_Eloise 90 0.18564978 LuceneNoStopNoStem
1 Q0 Hurricane_Joaquin 91 0.1845272 LuceneNoStopNoStem
1 Q0 Hurricane_Edna 92 0.18416347 LuceneNoStopNoStem
1 Q0 Hurricane_Janet 93 0.18342102 LuceneNoStopNoStem
1 Q0 Tropical_Storm_Odette_(2003) 94 0.18273093 LuceneNoStopNoStem
1 Q0 Hurricane_Klaus 95 0.1798837 LuceneNoStopNoStem
1 Q0 Hurricane_Opal 96 0.17932478 LuceneNoStopNoStem
1 Q0 Hurricane_Ike 97 0.17828038 LuceneNoStopNoStem
1 Q0 Hurricane_Diane 98 0.17671339 LuceneNoStopNoStem
1 Q0 Hurricane_Andrew 99 0.17514178 LuceneNoStopNoStem
1 Q0 Hurricane_Fifi%E2%80%93Orlene 100 0.17461571 LuceneNoStopNoStem

forecast models:

2 Q0 Tropical_cyclone_track_forecasting 1 0.31898507 LuceneNoStopNoStem
2 Q0 Tropical_cyclone_rainfall_forecasting 2 0.27113998 LuceneNoStopNoStem
